#经济
PLA_gjswayh_dynamic_modifier = {
	icon = GFX_idea_PLA_yujieco
	production_speed_infrastructure_factor = zouxiangfuxing39 #基础设施建造速度（百分比，正数为buff）
	production_speed_industrial_complex_factor = zouxiangfuxing40 #民用工厂建造速度（百分比，正数为buff）
}
#盈车嘉穗之梦
PLA_ycjdzm_dynamic_modifier = {
	icon = GFX_idea_PLA_nnyyzm
	enable = { always = yes }
	remove_trigger = { always = no }
	consumer_goods_factor = PLA_ycjdzm_factory_cg #消费品
	industrial_capacity_factory = PLA_ycjdzm_factory_ic #工厂产出
	production_factory_max_efficiency_factor = PLA_ycjdzm_factory_pfm #生产效率上限
	production_factory_start_efficiency_factor = PLA_ycjdzm_factory_pfs #基础生产效率
	PRODUCTION_FACTORY_EFFICIENCY_GAIN_FACTOR= PLA_ycjdzm_factory_pae #生产效率增长
	INDUSTRIAL_FACTORY_DONATIONS= PLA_ycjdzm_factory_ifd #民工捐赠
	MILITARY_FACTORY_DONATIONS= PLA_ycjdzm_factory_mfd #军工捐赠
	DOCKYARD_DONATIONS= PLA_ycjdzm_factory_dd #海工捐赠
	global_building_slots = PLA_ycjdzm_jiacheng #增加我们每个省份的建筑插槽数量
	research_speed_factor = PLA_ycjdzm_keyan #增加科研速度
	political_power_factor = PLA_ycjdzm_com #百分比增加政治点数
	stability_factor = PLA_ycjdzm_sta  #增加稳定
	resistance_activity = PLA_ycjdzm_resistance_activity #抵抗活动
    conscription_factor = PLA_ycjdzm_conscription_factor #百分比减少兵
    army_org_factor = PLA_ycjdzm_org #陆军组织度
	production_speed_buildings_factor = PLA_ycjdzm_jianzaosudu #建筑速度
	SUPPLY_NODE_RANGE = PLA_ycjdzm_SUPPLY_RANGE
	training_time_factor = PLA_ycjdzm_ttf #训练时间
}
#中国工农红军
PRC_red_army_dynamic_modifier = {
	icon = GFX_idea_PLA_worker_farmer_army
	conscription = hongjun_con #适役人口
	army_org_regain = hongjun_aor #组织度恢复
	training_time_factor = hongjun_ttf #训练时间
	land_reinforce_rate = hongjun_lrr #增员率
	equipment_capture = hongjun_ec #缴获装备
	TERRAIN_PENALTY_REDUCTION = hongjun_tpr #地性惩罚
	RECON_FACTOR = hongjun_rf #侦查
	CAS_DAMAGE_REDUCTION = hongjun_cas #近空支援伤害降低
	EXPERIENCE_LOSS_FACTOR = hongjun_elf #有经验士兵损失
	SPECIAL_FORCES_NO_SUPPLY_GRACE = hongjun_sfn #特种额外补给
	modifier_army_sub_unit_militia_attack_factor = hongjun_sma #民兵攻击
	modifier_army_sub_unit_militia_defence_factor = hongjun_smd #民兵防御
	MAX_DIG_IN = hongjun_mdi #堑壕上限
	WINTER_ATTRITION = hongjun_wa #冬季损耗
	HEAT_ATTRITION = hongjun_ha #炎热损耗
	LAND_NIGHT_ATTACK = hongjun_lna #陆战夜战
	MAX_PLANNING = hongjun_mp #最大计划
	SUPPLY_NODE_RANGE = hongjun_snr #补给范围
	NO_SUPPLY_GRACE = hongjun_nsg #偕行补给
	PLANNING_SPEED = hongjun_ps #计划速度
	SUPPLY_CONSUMPTION_FACTOR = hongjun_scf #补给消耗
	army_attack_factor = PLA_attack #陆军进攻
	army_defence_factor = PLA_defence #陆军防御
    experience_gain_infantry_combat_factor = PLA_exprience #经验获取
	special_forces_min = PLA_amspec #特种部队数量
	command_power_gain = PLA_com #指挥点数
	army_leader_cost_factor = PLA_lecost #陆军将领花费
	experience_loss_factor = PLA_armyloss #师损失
	org_loss_when_moving = PLA_movloss #移动损失
    experience_gain_factor = PLA_exgain #陆军经验获得
	army_org_factor = PLA_org #陆军组织度
	army_core_defence_factor = PLA_core_def #核心防御
	army_attack_speed_factor = PLA_attack_speed #师攻击速度
	army_speed_factor = PLA_speed #移动速度
	breakthrough_factor = PLA_break #突破
	combat_width_factor = PLA_width #作战宽度
	army_speed_factor = hongjunfazhan01 #陆军师速度（百分比，正数为buff）
	experience_gain_factor = hongjunfazhan02 #指挥官经验增长（百分比，正数为buff）
	experience_gain_army = hongjunfazhan03 #陆军师经验增长（每日，固定值，小数，正数为buff）
	experience_gain_army_factor = hongjunfazhan04 #陆军经验增长（百分比，正数为buff）
	experience_gain_army_unit_factor = hongjunfazhan05 #部队经验增长（百分比，正数为buff）
	training_time_army_factor = hongjunfazhan06 #陆军师训练时间（百分比，负数为buff）
	army_org_factor = hongjunfazhan07 #陆军组织度（百分比，正数为buff）
	conscription = hongjunfazhan08 #适役人口（百分比，正数为buff）
	org_loss_when_moving = hongjunfazhan09 #移动中组织度损失（百分比，负数为buff）
	org_loss_at_low_org_factor = hongjunfazhan10 #组织度低于25%时的损失（百分比，负数为buff）
	attrition = hongjunfazhan11 #陆军师损耗（百分比，负数为buff）
	winter_attrition_factor = hongjunfazhan12 #冬季损耗（百分比，负数为buff）
	heat_attrition_factor = hongjunfazhan13 #炎热损耗（百分比，负数为buff）
	out_of_supply_factor = hongjunfazhan14 #非战斗补给耗尽惩罚（百分比，负数为buff）
	supply_consumption_factor = hongjunfazhan15 #补给消耗（百分比，负数为buff）
	recon_factor = hongjunfazhan16 #侦查（百分比，正数为buff）
	army_morale_factor = hongjunfazhan17 #陆军师组织度恢复速率（百分比，正数为buff）
	army_strength_factor = hongjunfazhan18 #HP（百分比，正数为buff）
	dig_in_speed_factor = hongjunfazhan19 #堑壕速度（百分比，正数为buff）
	enemy_army_bonus_air_superiority_factor = hongjunfazhan20 #敌方空中支援（百分比，负数为buff）
	army_attack_factor = hongjunfazhan21 #部队攻击（百分比，正数为buff）
	army_defence_factor = hongjunfazhan22 #单位防御（百分比，正数为buff）
	army_armor_attack_factor = hongjunfazhan23 #装甲单位攻击（百分比，正数为buff）
	experience_loss_factor = hongjunfazhan24 #有经验的士兵的损失（百分比，负数为buff）
	equipment_capture = hongjunfazhan25 #装备缴获比例增长（百分比，正数为buff）
	land_reinforce_rate = hongjunfazhan26 #增援率（百分比，正数为buff）
	planning_speed = hongjunfazhan27 #计划速度（百分比，正数为buff）
	max_planning = hongjunfazhan28 #计划加成上限（百分比，正数为buff）
	max_planning_factor = hongjunfazhan29 #计划加成上限修正（百分比，正数为buff）
	max_dig_in = hongjunfazhan30 #堑壕上限（固定值，正数为buff）
	max_dig_in_factor = hongjunfazhan31 #堑壕上限（百分比，正数为buff）
	land_night_attack = hongjunfazhan32 #陆战夜战攻击（百分比，正数为buff）
	pocket_penalty = hongjunfazhan33 #包围惩罚（百分比，负数为buff）
	no_supply_grace = hongjunfazhan34 #携行补给（固定值，正数为buff）
	combat_width_factor = hongjunfazhan35 #己方战场宽度（百分比，负数为buff）
	minimum_training_level = hongjunfazhan36 #最小训练程度（百分比，负数为buff）
	command_power_gain = hongjunfazhan37 #每日指挥点数增长（固定值，正数为buff）
	max_command_power = hongjunfazhan38 #最大指挥点数提高（固定值，正数为buff）
	command_power_gain_mult = hongjunfazhan39 #每日指挥点数增长乘数（百分比，正数为buff）
	acclimatization_cold_climate_gain_factor = hongjunfazhan40 #寒冷适应度增长速度（百分比，正数为buff）
	acclimatization_hot_climate_gain_factor = hongjunfazhan41 #炎热适应度增长速度（百分比，正数为buff）
	army_leader_start_attack_level = hongjunfazhan42 #新将领初始进攻技能等级（固定值，正数为buff）
	army_leader_start_defense_level	= hongjunfazhan43 #新将领初始防御能力（固定值，正数为buff）
	mechanized_attack_factor = hongjunfazhan44 #机械化进攻（百分比，正数为buff）
	terrain_penalty_reduction = hongjunfazhan45 #地形惩罚降低（百分比，正数为buff）
	cas_damage_reduction = hongjunfazhan46 #密接支援造成伤害降低（百分比，正数为buff）
	recon_factor_while_entrenched = hongjunfazhan47 #堑壕中侦查加成（百分比，正数为buff）
	special_forces_cap = hongjunfazhan48 #特种部队容量上限乘数（百分比，正数为buff）
	equipment_capture_factor = hongjunfazhan49 #装备缴获比例修正（百分比，正数为buff）
	army_fuel_capacity_factor = hongjunfazhan50 #陆军燃油容量（百分比，正数为buff）
	breakthrough_factor = hongjunfazhan51 #突破（百分比，正数为buff）
	army_attack_speed_factor = hongjunfazhan52 #陆军师进攻速度（百分比，正数为buff）
	supply_node_range = hongjunfazhan53 #补给范围（百分比，正数为buff）
	land_doctrine_cost_factor = hongjunfazhan54 #陆军学说花费（百分比，负数为buff）
	intel_from_combat_factor = hongjunfazhan55 #从战斗获取的情报（百分比，正数为buff）
	coordination_bonus = hongjunfazhan56 #协同性（百分比，正数为buff）
	grant_medal_cost_factor = hongjunfazhan57 #授勋花费（百分比，负数为buff）
	supply_factor = hongjunfazhan58 #补给效率（百分比，正数为buff）
	max_command_power_mult = hongjunfazhan59 #最大指挥点数提高乘数（百分比，正数为buff）
	command_abilities_cost_factor = hongjunfazhan60 #指挥官能力花费（百分比，负数为buff）
}
#土地改革
PLA_tdgg_dynamic_modifier = {
	icon = GFX_idea_PLA_gailiang
	enable = { always = yes }
	remove_trigger = { always = no }
	consumer_goods_factor = PLA_tdgg_factory_cg #消费品
	industrial_capacity_factory = PLA_tdgg_factory_ic #工厂产出
	production_speed_industrial_complex_factor  = PLA_tdgg_factory_psi #民工速度
	production_speed_arms_factory_factor = PLA_tdgg_factory_psa #军工速度
	production_speed_dockyard_factor = PLA_tdgg_factory_psd #海工速度
	production_speed_rail_way_factor = PLA_tdgg_factory_psr #铁路速度
	production_factory_max_efficiency_factor = PLA_tdgg_factory_pfm #生产效率上限
	production_factory_start_efficiency_factor = PLA_tdgg_factory_pfs #基础生产效率
	PRODUCTION_FACTORY_EFFICIENCY_GAIN_FACTOR= PLA_tdgg_factory_pae #生产效率增长
	INDUSTRIAL_FACTORY_DONATIONS= PLA_tdgg_factory_ifd #民工捐赠
	MILITARY_FACTORY_DONATIONS= PLA_tdgg_factory_mfd #军工捐赠
	DOCKYARD_DONATIONS= PLA_tdgg_factory_dd #海工捐赠
	conscription = PLA_tdgg_shiyi #适役人口
	political_power_cost = PLA_tdgg_xiaohao #每日政治点数消耗
	global_building_slots = PLA_tdgg_diqujianzhu_jiacheng #增加我们每个省份的建筑插槽数量
	research_speed_factor = PLA_tdgg_pla_keyan #增加科研速度
	production_speed_infrastructure_factor = PLA_tdgg_pla_jichusheshi #增加基础设施建造速度
	stability_factor = PLA_tdgg_sta  #增加稳定
	political_power_gain = PLA_tdgg_polica  #增加政治点数
	war_support_factor = PLA_tdgg_support #增加战争支持度
	political_power_factor = PLA_tdgg_com #百分比增加政治点数
	compliance_growth = PLA_tdgg_com #增加顺从
}
#革命文化战线
PLA_xwhyd_dynamic_modifier = {
	icon = GFX_idea_PLA_whjy
	enable = { always = yes }
	remove_trigger = { always = no }
	consumer_goods_factor = PLA_xwhyd_factory_cg #消费品
	industrial_capacity_factory = PLA_xwhyd_factory_ic #工厂产出
	production_speed_industrial_complex_factor  = PLA_xwhyd_factory_psi #民工速度
	production_speed_arms_factory_factor = PLA_xwhyd_factory_psa #军工速度
	production_speed_dockyard_factor = PLA_xwhyd_factory_psd #海工速度
	production_speed_rail_way_factor = PLA_xwhyd_factory_psr #铁路速度
	production_factory_max_efficiency_factor = PLA_xwhyd_factory_pfm #生产效率上限
	production_factory_start_efficiency_factor = PLA_xwhyd_factory_pfs #基础生产效率
	aircraft_manufacturer_cost_factor = PLA_xwhyd_factory_air #空军制造商
	naval_manufacturer_cost_factor = PLA_xwhyd_factory_nav #海军制造商
	PRODUCTION_FACTORY_EFFICIENCY_GAIN_FACTOR= PLA_xwhyd_factory_pae #生产效率增长
	INDUSTRIAL_FACTORY_DONATIONS= PLA_xwhyd_factory_ifd #民工捐赠
	MILITARY_FACTORY_DONATIONS= PLA_xwhyd_factory_mfd #军工捐赠
	DOCKYARD_DONATIONS= PLA_xwhyd_factory_dd #海工捐赠
	conscription = PLA_xwhyd_hongjun_con #适役人口
	political_power_cost = PLA_xwhyd_xiaohao_con #每日政治点数消耗
	radical_socialist_drift = PLA_xwhyd_jijing_zhichi #每日激进社会主义支持度
	global_building_slots = PLA_xwhyd_diqujianzhu_jiacheng #增加我们每个省份的建筑插槽数量
	research_speed_factor = PLA_xwhyd_pla_keyan #增加科研速度
	production_speed_infrastructure_factor = PLA_xwhyd_pla_jichusheshi #增加基础设施建造速度
	stability_factor = PLA_xwhyd_sta  #增加稳定
	political_power_gain = PLA_xwhyd_polica  #增加政治点数
	war_support_factor = PLA_xwhyd_support #增加战争支持度
	party_popularity_stability_factor = PLA_xwhyd_ily #政党支持度稳定
	drift_defence_factor = PLA_xwhyd_ysxtdz #意识形态抵制力度
	compliance_growth = PLA_xwhyd_com #增加顺从
}
PLA_tdgmwc = {
	icon = GFX_idea_PLA_farmer
	enable = {
		owner = PLA
	}
	local_building_slots_factor = 0.25
	local_resources_factor = 0.25
	state_production_speed_buildings_factor = 0.25
}
#中国工业化之路
PLA_factory_dynamic_modifier = {
	icon = GFX_idea_SOV_organize_wreckers
	consumer_goods_factor = PLA_factory_factory_cg #消费品
	industrial_capacity_factory = PLA_factory_factory_ic #工厂产出
	production_speed_industrial_complex_factor  = PLA_factory_factory_psi #民工速度
	production_speed_arms_factory_factor = PLA_factory_factory_psa #军工速度
	production_speed_dockyard_factor = PLA_factory_factory_psd #海工速度
	production_speed_rail_way_factor = PLA_factory_factory_psr #铁路速度
	production_factory_max_efficiency_factor = PLA_factory_factory_pfm #生产效率上限
	production_factory_start_efficiency_factor = PLA_factory_factory_pfs #基础生产效率
	PRODUCTION_FACTORY_EFFICIENCY_GAIN_FACTOR= PLA_factory_factory_pae #生产效率增长
	INDUSTRIAL_FACTORY_DONATIONS= PLA_factory_factory_ifd #民工捐赠
	MILITARY_FACTORY_DONATIONS= PLA_factory_factory_mfd #军工捐赠
	DOCKYARD_DONATIONS= PLA_factory_factory_dd #海工捐赠
	conscription = PLA_factory_hongjun_con #适役人口
	global_building_slots = PLA_factory_diqujianzhu_jiacheng #增加我们每个省份的建筑插槽数量
	research_speed_factor = PLA_factory_pla_keyan #增加科研速度
	production_speed_infrastructure_factor = PLA_factory_pla_jichusheshi #增加基础设施建造速度
	production_lack_of_resource_penalty_factor = PLA_factory_lack_of_resource #修正资源不足
	refit_ic_cost = PLA_factor_refit_ic_cost #改装花费
	refit_speed = PLA_factor_refit_speed #改装速度
	industry_repair_factor = PLA_factor_repair #修复速度
	industry_air_damage_factor = PLA_factor_air_damage #空袭概率
	local_resources_factor = PLA_factor_resources #资源开采
	research_speed_factor = gongyejianshe01 #科研速度（百分比，正数为buff）
	local_resources_factor = gongyejianshe02 #战略资源获取率（百分比，正数为buff）
	monthly_population = gongyejianshe03 #每月人口（百分比，正数为buff）
	consumer_goods_factor = gongyejianshe04 #生活消费品工厂系数（百分比，负数为buff）
	conversion_cost_mil_to_civ_factor = gongyejianshe05 #军转民花费（百分比，负数为buff）
	conversion_cost_civ_to_mil_factor = gongyejianshe06 #民转军花费（百分比，负数为buff）
	global_building_slots_factor = gongyejianshe07 #地区最大工业值（百分比，正数为buff）
	line_change_production_efficiency_factor = gongyejianshe08 #生产效率保持（百分比，正数为buff）
	production_speed_buildings_factor = gongyejianshe09 #建造速度（百分比，正数为buff）
	production_factory_max_efficiency_factor = gongyejianshe10 #生产效率上限（百分比，正数为buff）
	production_factory_efficiency_gain_factor = gongyejianshe11 #生产效率增长（百分比，正数为buff）
	production_factory_start_efficiency_factor = gongyejianshe12 #基础生产效率（百分比，正数为buff）
	production_lack_of_resource_penalty_factor = gongyejianshe13 #缺乏战略资源惩罚（百分比，负数为buff）
	industrial_capacity_factory = gongyejianshe14 #工厂产出（百分比，正数为buff）
	industry_air_damage_factor = gongyejianshe15 #工厂受轰炸易损性（百分比，负数为buff）
	equipment_conversion_speed = gongyejianshe16 #改装速度（百分比，正数为buff）
	min_export = gongyejianshe17 #可出口资源（百分比，负数为buff）
	fuel_gain_factor = gongyejianshe18 #从石油获得的燃油（百分比，正数为buff）
	cic_construction_boost_factor = gongyejianshe19 #建筑队列速度加成乘数（百分比，正数为buff）
}
#中国革命统一战线
PLA_unitgov_dynamic_modifier = {
	icon = GFX_idea_PLA_unitgov
	consumer_goods_factor = PLA_unitgov_factory_cg #消费品
	consumer_goods_factor = PLA_unitgov_factory_cg_a #消费品
	industrial_capacity_factory = PLA_unitgov_factory_ic #工厂产出
	industrial_capacity_factory = PLA_unitgov_factory_ic_a #工厂产出
	production_speed_buildings_factor  = PLA_unitgov_build_spe #建造速度
	production_speed_industrial_complex_factor  = PLA_unitgov_factory_psi #民工速度
	production_speed_arms_factory_factor = PLA_unitgov_factory_psa #军工速度
	production_speed_dockyard_factor = PLA_unitgov_factory_psd #海工速度
	production_speed_rail_way_factor = PLA_unitgov_factory_psr #铁路速度
	production_factory_max_efficiency_factor = PLA_unitgov_factory_pfm #生产效率上限
	production_factory_max_efficiency_factor = PLA_unitgov_factory_pfm_a #生产效率上限
	production_factory_start_efficiency_factor = PLA_unitgov_factory_pfs #基础生产效率
	PRODUCTION_FACTORY_EFFICIENCY_GAIN_FACTOR= PLA_unitgov_factory_pae #生产效率增长
	INDUSTRIAL_FACTORY_DONATIONS= PLA_unitgov_factory_ifd #民工捐赠
	political_power_cost = PLA_unitgov_xiaohao_con #每日政治点数消耗
	global_building_slots = PLA_unitgov_diqujianzhu_jiacheng #增加我们每个省份的建筑插槽数量
	global_building_slots = PLA_unitgov_diqujianzhu_jiacheng_a #增加我们每个省份的建筑插槽数量
	research_speed_factor = PLA_unitgov_pla_keyan #增加科研速度
	research_speed_factor = PLA_unitgov_pla_keyan_a #增加科研速度
	production_speed_infrastructure_factor = PLA_unitgov_pla_jichusheshi #增加基础设施建造速度
	stability_factor = PLA_CPC_sta  #增加稳定
	stability_factor = PLA_SCI_sta  #增加稳定
	stability_factor = PLA_CSA_sta  #增加稳定
	stability_factor = PLA_KMT_sta  #增加稳定
	stability_factor = PLA_ZMM_sta  #增加稳定
	stability_factor = PLA_ZMJ_sta  #增加稳定
	stability_factor = PLA_ZMC_sta  #增加稳定
	stability_factor = PLA_ZGD_sta  #增加稳定
	stability_factor = PLA_NGM_sta  #增加稳定
	mobilization_speed = PLA_unitgov_mobilization #动员速度
	mobilization_speed = PLA_unitgov_mobilization_a #动员速度
	political_power_gain = PLA_unitgov_polica  #增加政治点数
	war_support_factor = PLA_unitgov_support #增加战争支持度
	war_support_factor = PLA_unitgov_support_a #增加战争支持度
	party_popularity_stability_factor = PLA_unitgov_ily #政党支持度稳定
	drift_defence_factor = PLA_unitgov_ysxtdz #意识形态抵制力度
	compliance_growth = PLA_unitgov_com #增加顺从
	industry_repair_factor = PLA_unitgov_repair #修复速度
	local_resources_factor = PLA_unitgov_resources #资源开采
	local_resources_factor = PLA_unitgov_resources_a #资源开采
	war_stability_factor = PLA_unitgov_war_stability #进攻稳定修正
	political_power_factor = PLA_unitgov_power_factor #百分比增加政治点数
	political_power_factor = PLA_unitgov_power_factor_a #百分比增加政治点数
	conscription_factor = PLA_unitgov_conscription_factor #百分比减少兵
}
#中央军事委员会
PLA_zyjswyh_dynamic_modifier = {
	icon = GFX_idea_PLA_zyjswyh
    army_org_regain = PLA_zyjswyh_reg #组织度恢复
	land_reinforce_rate = PLA_zyjswyh_lan #增员率
	RECON_FACTOR = PLA_zyjswyh_rec #侦查
	coordination_bonus = PLA_zyjswyh_xietong #协同性
	max_planning_factor = PLA_zyjswyh_maxpla #最大计划
	planning_speed = PLA_zyjswyh_spepla #计划速度
	command_power_gain = PLA_zyjswyh_gacom #指挥点数
	army_attack_speed_factor = PLA_zyjswyh_sttspe #师攻击速度
    experience_gain_infantry_combat_factor = PLA_zyjswyh_infexp #步兵经验获取
	experience_gain_army = PLA_zyjswyh_armexp #陆军经验获取
	org_loss_at_low_org_factor = PLA_zyjswyh_orlosw #在低组织度下   
}
#铸犁为剑
PLA_zlwjzy_dynamic_modifier = {
	icon = GFX_idea_PLA_nmjdzr
	army_attack_factor = PLA_zlwjzy_attack #陆军进攻
	army_defence_factor = PLA_zlwjzy_defence #陆军防御
	mobilization_speed = PLA_zlwjzy_mobilization #动员速度
	conscription_factor = PLA_zlwjzy_conscription_factor #百分比减少兵
	naval_coordination = haijunfazhan01 #舰队协同性（百分比，正数为buff）
	invasion_preparation = haijunfazhan02 #登陆准备时间（百分比，负数为buff）
	amphibious_invasion_defence = haijunfazhan03 #登陆防护（百分比，正数为buff）
	naval_speed_factor = haijunfazhan04 #海军速度（百分比，正数为buff）
	naval_detection = haijunfazhan05 #海军探测（百分比，正数为buff）
	experience_gain_navy = haijunfazhan06 #海军经验增长（每日，固定值，小数，正数为buff）
	experience_gain_navy_factor = haijunfazhan07 #海军经验增长（百分比，正数为buff）
	navy_org_factor = haijunfazhan08 #海军组织度（百分比，正数为buff）
	spotting_chance = haijunfazhan09 #索敌速度（百分比，正数为buff）
	ships_at_battle_start = haijunfazhan10 #最早接战时的参战舰艇数（百分比，正数为buff）
	naval_retreat_speed = haijunfazhan11 #撤退时的舰队速度（百分比，正数为buff）
	naval_morale_factor = haijunfazhan12 #海军组织度恢复速率（百分比，正数为buff）
	navy_max_range_factor = haijunfazhan13 #海军最大航程系数（百分比，正数为buff）
	amphibious_invasion = haijunfazhan14 #两栖登陆速度（百分比，正数为buff）
	industrial_capacity_dockyard = haijunfazhan15 #海军船坞产出（百分比，正数为buff）
	convoy_escort_efficiency = haijunfazhan16 #海军护航效率（百分比，正数为buff）
	navy_leader_start_attack_level = haijunfazhan17 #新海军将领初始进攻技能等级（固定值，正数为buff）
	navy_leader_start_defense_level = haijunfazhan18 #新海军将领初始防御技能等级（固定值，正数为buff）
	critical_receive_chance = haijunfazhan19 #遭受致命一击的几率（百分比，负数为buff）
	navy_visibility = haijunfazhan20 #可见度（百分比，负数为buff）
	naval_attrition = haijunfazhan21 #损耗（百分比，负数为buff）
	naval_accidents_chance = haijunfazhan22 #事故几率（百分比，负数为buff）
	positioning = haijunfazhan23 #阵位（百分比，正数为buff）
	naval_damage_factor = haijunfazhan24 #海军伤害（百分比，正数为buff）
	naval_defense_factor = haijunfazhan25 #海军防御（百分比，正数为buff）
	naval_critical_score_chance_factor = haijunfazhan26 #打出致命一击的几率（百分比，正数为buff）
	refit_speed = haijunfazhan27 #舰艇改装速度（百分比，正数为buff）
	repair_speed_factor = haijunfazhan28 #船只修理速度（百分比，正数为buff）
	production_speed_dockyard_factor = haijunfazhan29 #海军船坞建造速度（百分比，正数为buff）
	air_detection = kongjunfazhan01 #对空探测（百分比，正数为buff）
